id,data_turno,orario_inizio,orario_fine,compenso,piscina,bagnino
12,2024-09-09,07:15:00,11:00:00,39.19,Bacone,
13,2024-09-11,07:15:00,12:30:00,54.86,Bacone,
14,2024-09-14,13:00:00,17:30:00,47.03,De Marchi,
15,2024-09-15,08:45:00,12:30:00,39.19,Bacone,
16,2024-09-20,14:30:00,20:00:00,57.48,Bacone,
17,2024-09-22,08:45:00,12:30:00,39.19,Bacone,
19,2024-09-23,14:30:00,18:00:00,36.58,Iseo,
20,2024-09-25,07:15:00,11:00:00,39.19,Bacone,
21,2024-09-26,09:15:00,15:00:00,60.09,Bacone,
22,2024-09-27,09:45:00,13:00:00,33.96,De Marchi,
24,2024-09-30,06:45:00,10:30:00,39.19,Arioli Venegoni,
25,2024-09-27,16:30:00,22:30:00,62.70,Bacone,
26,2024-10-01,11:30:00,14:30:00,31.35,Arioli Venegoni,
27,2024-10-01,16:30:00,20:00:00,36.58,Bacone,
28,2024-10-01,20:45:00,22:30:00,18.29,Bacone,
29,2024-10-02,16:15:00,19:45:00,36.58,De Marchi,
30,2024-10-03,16:15:00,19:45:00,36.58,De Marchi,
32,2024-10-04,16:00:00,21:30:00,57.48,De Marchi,
33,2024-10-05,09:30:00,12:30:00,31.35,De Marchi,
34,2024-10-08,20:45:00,22:30:00,18.29,Bacone,
35,2024-10-10,20:30:00,22:00:00,15.68,De Marchi,
36,2024-10-11,16:30:00,19:00:00,26.13,De Marchi,
37,2024-10-11,20:30:00,22:30:00,20.90,Bacone,
39,2024-10-17,20:30:00,22:00:00,15.68,De Marchi,
40,2024-10-18,20:30:00,22:30:00,20.90,Bacone,
41,2024-10-20,09:00:00,13:00:00,41.80,Bacone,
42,2024-10-15,20:45:00,22:30:00,18.29,Bacone,
44,2024-10-24,20:30:00,22:00:00,15.68,De Marchi,
48,2024-11-05,20:45:00,22:30:00,18.29,Bacone,
49,2024-11-07,20:30:00,22:00:00,15.68,De Marchi,
50,2024-11-08,21:00:00,22:30:00,15.68,Bacone,
51,2024-11-10,13:00:00,16:30:00,36.58,Bacone,
52,2024-11-12,20:45:00,22:30:00,18.29,Bacone,
53,2024-11-14,20:30:00,22:00:00,15.68,De Marchi,
54,2024-11-15,20:30:00,22:30:00,20.90,Bacone,
55,2024-11-17,08:45:00,13:00:00,44.41,Bacone,
56,2024-11-19,20:45:00,22:30:00,18.29,Bacone,
57,2024-11-21,20:30:00,22:00:00,15.68,De Marchi,
90,2024-11-22,20:30:00,22:30:00,20.90,Bacone,
91,2024-11-26,20:45:00,22:30:00,18.29,Bacone,
